S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
1,ACLBSL,573.20,-6.80,-1.17,572.00,595.00,572.00,2209.00,580.00,
2,ADBL,248.90,1.90,0.77,251.00,251.00,246.20,33313.00,247.00,
3,ADBLD83,1005.00,-5.10,-0.50,1005.00,1005.00,1005.00,50.00,1010.10,
4,AHL,379.00,-5.20,-1.35,384.20,395.00,379.00,9908.00,384.20,
5,AHPC,224.10,-6.50,-2.82,235.00,235.60,224.00,57220.00,230.60,
6,AKJCL,194.00,-6.00,-3.00,204.00,205.00,192.10,60705.00,200.00,
7,AKPL,174.00,-3.00,-1.69,180.50,183.30,173.00,225434.00,177.00,
8,ALBSL,694.90,-2.90,-0.42,698.80,711.00,686.70,5992.00,697.80,
9,ALICL,653.00,-9.00,-1.36,675.20,702.00,651.00,66316.00,662.00,
10,ANLB,1717.00,57.91,3.49,1692.20,1757.00,1692.20,1250.00,1659.09,
11,API,177.00,0.00,0.00,178.00,180.50,175.60,139801.00,177.00,
12,AVYAN,605.00,2.00,0.33,603.20,614.90,603.00,3458.00,603.00,
13,BARUN,226.00,-3.50,-1.53,234.00,238.00,222.50,24801.00,229.50,
14,BBC,3850.00,-15.00,-0.39,3942.30,3998.00,3843.00,181.00,3865.00,
15,BEDC,285.00,-3.00,-1.04,293.00,304.90,284.20,45820.00,288.00,
16,BFC,319.00,-2.00,-0.62,327.40,327.40,319.00,14855.00,321.00,
17,BGWT,508.00,-20.00,-3.79,528.00,538.00,506.00,11187.00,528.00,
18,BHDC,405.10,-10.00,-2.41,408.00,416.00,405.10,18965.00,415.10,
19,BHL,291.00,-19.00,-6.13,310.00,310.00,289.10,15168.00,310.00,
20,BHPL,444.80,-7.30,-1.61,445.50,475.40,444.10,3672.00,452.10,
21,BNHC,370.00,-15.00,-3.90,382.10,390.80,369.00,7058.00,385.00,
22,BNT,12948.00,368.00,2.93,12500.00,12948.00,12500.00,160.00,12580.00,
23,BOKD86,844.50,-2.00,-0.24,850.00,850.00,844.50,50.00,846.50,
24,BPCL,301.90,-3.10,-1.02,309.50,309.50,299.00,29509.00,305.00,
